accommodation_id,accommodation_name,count,duration_days,budget
3010391,강릉 경포대 큐브,1,5.0,500000.0
10052283,강릉 씨카라반,1,2.0,400000.0
10048841,강릉 브라운도트 강릉역점,1,5.0,1200000.0
10047592,강릉 디니다스펜션,1,2.0,1600000.0
10048155,강릉 경포의휴일펜션,1,3.0,400000.0
10046703,강릉 하하스테이펜션,1,2.0,1500000.0
10046779,강릉 칸펜션,1,2.0,300000.0
10061060,강릉 브릭포레스트,1,2.0,400000.0
10060626,강릉 코미치바다펜션,1,3.0,500000.0
10059419,강릉 치즈바다,1,2.0,500000.0
10057051,강릉 초당더쉼펜션,1,2.0,800000.0
10056414,강릉 당신의안목펜션,1,3.0,800000.0
10058408,강릉 삐꼴로까사,1,3.0,800000.0
10059251,강릉 송이펜션,1,2.0,1400000.0
10061720,강릉 스테이 이플,1,2.0,1000000.0
10060411,강릉 더스테이 은파,1,3.0,1200000.0
10060551,강릉 니나랑스파펜션,1,2.0,500000.0
10062044,강릉 더 오션스테이 A19,1,2.0,500000.0
10061373,강릉 도도하우스1,1,2.0,600000.0
10061610,강릉 헤이펜션,1,2.0,500000.0
10064836,강릉 도원펜션,1,3.0,1100000.0
10064050,강릉 디오네스파펜션,1,2.0,200000.0
10063220,강릉 꿈꾸는풍차애견동반펜션,1,2.0,1400000.0
10064424,강릉 쉼표펜션,1,2.0,800000.0
10064335,강릉 안목다락,1,3.0,1100000.0
10065298,강릉 머뭄풀빌라,1,2.0,1600000.0
1000104370,강릉 게스트하우스 뮤,1,5.0,800000.0
1000100071,강릉 경포대 아이리스 스테이,1,2.0,200000.0
1000110189,강릉 신나는펜션,1,2.0,600000.0
1000110490,강릉 브라운도트 강릉경포점,1,3.0,2400000.0
1000111789,강릉 바다를품은스파펜션,1,2.0,500000.0
1000111929,강릉 산타비치펜션(경포해변인근),1,3.0,900000.0
1000114001,강릉 파인아트라벨,1,2.0,800000.0
